"duty_station","type","parent","street","city","state","zip","address","phone","url"
"New Bedford, Massachusetts - 0405","Port of Entry","Boston","37 Second Street","New Bedford","MA","02740","37 Second Street, New Bedford, MA 02740","","https://www.cbp.gov/about/contact/ports/new-bedford-massachusetts-0405"
"Plymouth (New Bedford), Massachusetts - 0406","Port of Entry","Boston","37 Second Street","New Bedford","MA","02740","37 Second Street, New Bedford, MA 02740","","https://www.cbp.gov/about/contact/ports/plymouth-new-bedford-massachusetts-0406"
"Logan Airport, Massachusetts - 0417","Port of Entry","Boston","500 Terminal E","East Boston","MA","02128","500 Terminal E, East Boston, MA 02128","","https://www.cbp.gov/about/contact/ports/logan-airport-massachusetts-0417"
"Fall River (New Bedford), Massachusetts - 0407","Port of Entry","Boston","37 Second Street","New Bedford","MA","02740","37 Second Street, New Bedford, MA 02740","","https://www.cbp.gov/about/contact/ports/fall-river-new-bedford-massachusetts-0407"
"Gloucester, Massachusetts - 0404","Port of Entry","Boston","100 Cummings Center - Room 422A","Beverly","MA","01915","100 Cummings Center - Room 422A, Beverly, MA 01915","","https://www.cbp.gov/about/contact/ports/gloucester-massachusetts-0404"
"Boston, Massachusetts - 0401","Port of Entry","Boston","10 Causeway Street - Room 603","Boston","MA","02222","10 Causeway Street - Room 603, Boston, MA 02222","617-565-6149","https://www.cbp.gov/about/contact/ports/boston-massachusetts-0401"
"Salem (Gloucester), Massachusetts - 0408","Port of Entry","Boston","100 Cummings Center - Room 422A","Beverly","MA","01915","100 Cummings Center - Room 422A, Beverly, MA 01915","","https://www.cbp.gov/about/contact/ports/salem-gloucester-massachusetts-0408"
"Worcester, Massachusetts - 0403","Port of Entry","Boston","120 Front Street - Suite 800","Worcester","MA","01608","120 Front Street - Suite 800, Worcester, MA 01608","","https://www.cbp.gov/about/contact/ports/worcester-massachusetts-0403"
"Springfield, Massachusetts - 0402","Port of Entry","Boston","1414 Main Street","Springfield","MA","01144","1414 Main Street, Springfield, MA 01144","","https://www.cbp.gov/about/contact/ports/springfield-massachusetts-0402"
"Lawrence (Gloucester), Massachusetts - 0416","Port of Entry","Boston","100 Cummings Center - Room 422A","Beverly","MA","01915","100 Cummings Center - Room 422A, Beverly, MA 01915","","https://www.cbp.gov/about/contact/ports/lawrence-gloucester-massachusetts-0416"
"Vanceboro, Maine - 0105","Port of Entry","Boston","133 Water Street","Vanceboro","ME","04491","133 Water Street, Vanceboro, ME 04491","207-788-3907","https://www.cbp.gov/about/contact/ports/vanceboro-maine-0105"
"Van Buren, Maine - 0108","Port of Entry","Boston","173 Acadian Way","Van Buren","ME","04785","173 Acadian Way, Van Buren, ME 04785","","https://www.cbp.gov/about/contact/ports/van-buren-maine-0108"
"Bath, Maine - 0111","Port of Entry","Boston","155 Gannett Drive","South Portland","ME","04106","155 Gannett Drive, South Portland, ME 04106","","https://www.cbp.gov/about/contact/ports/bath-maine-0111"
"Bangor, Maine - 0102","Port of Entry","Boston","267a Godfrey Blvd","Bangor","ME","04401","267a Godfrey Blvd, Bangor, ME 04401","","https://www.cbp.gov/about/contact/ports/bangor-maine-0102"
"Fort Kent, Maine - 0110","Port of Entry","Boston","401 West Main St.","Fort Kent","ME","04743","401 West Main St., Fort Kent, ME 04743","207-834-5255","https://www.cbp.gov/about/contact/ports/fort-kent-maine-0110"
"Bar Harbor, Maine - 0112","Port of Entry","Boston","267a Godfrey Blvd.","Bangor","ME","04401","267a Godfrey Blvd., Bangor, ME 04401","","https://www.cbp.gov/about/contact/ports/bar-harbor-maine-0112"
"Eastport, Maine - 0103","Port of Entry","Boston","141 Water Street","Eastport","ME","04631","141 Water Street, Eastport, ME 04631","","https://www.cbp.gov/about/contact/ports/eastport-maine-0103"
"Portland, Maine - 0101","Port of Entry","Boston","155 Gannett Drive","South Portland","ME","04106","155 Gannett Drive, South Portland, ME 04106","","https://www.cbp.gov/about/contact/ports/portland-maine-0101"
"Bridgewater, Maine - 0127","Port of Entry","Boston","454 Boundary Line Rd","Bridgewater","ME","04735","454 Boundary Line Rd, Bridgewater, ME 04735","207-425-2881","https://www.cbp.gov/about/contact/ports/bridgewater-maine-0127"
"Fort Fairfield, Maine - 0107","Port of Entry","Boston","4 Boundary Line Road","Fort Fairfield","ME","04742","4 Boundary Line Road, Fort Fairfield, ME 04742","207-473-7474","https://www.cbp.gov/about/contact/ports/fort-fairfield-maine-0107"
"Jonesport (Calais), Maine - 0122","Port of Entry","Boston","3 Customs Street","Calais","ME","04619","3 Customs Street, Calais, ME 04619","","https://www.cbp.gov/about/contact/ports/jonesport-calais-maine-0122"
"Searsport, Maine - 0152","Port of Entry","Boston","267a Godfrey Blvd.","Bangor","ME","04401","267a Godfrey Blvd., Bangor, ME 04401","207-947-7861","https://www.cbp.gov/about/contact/ports/belfast-maine-0132"
"Rockland (Belfast), Maine - 0121","Port of Entry","Boston","267a Godfrey Blvd.","Bangor","ME","04401","267a Godfrey Blvd., Bangor, ME 04401","","https://www.cbp.gov/about/contact/ports/rockland-belfast-maine-0121"
"Jackman, Maine - 0104","Port of Entry","Boston","2614 Main Street","Sandy Bay Twp.","ME","04945","2614 Main Street, Sandy Bay Twp., ME 04945","","https://www.cbp.gov/about/contact/ports/jackman-maine-0104"
"Madawaska, Maine - 0109","Port of Entry","Boston","108 Four Corners Crossing","Madawaska","ME","04756","108 Four Corners Crossing, Madawaska, ME 04756","207-728-4376","https://www.cbp.gov/about/contact/ports/madawaska-maine-0109"
"Calais, Maine - 0115","Port of Entry","Boston","180 International Avenue","Calais","ME","04619","180 International Avenue, Calais, ME 04619","207-904-3000","https://www.cbp.gov/about/contact/ports/calais-maine-0115"
"Houlton, Maine - 0106","Port of Entry","Boston","Route 95 at the Border","Houlton","ME","04730","Route 95 at the Border, Houlton, ME 04730","","https://www.cbp.gov/about/contact/ports/houlton-maine-0106"
"Limestone, Maine - 0118","Port of Entry","Boston","410 Grand Falls Road","Limestone","ME","04750","410 Grand Falls Road, Limestone, ME 04750","207-325-4769","https://www.cbp.gov/about/contact/ports/limestone-maine-0118"
"Manchester (User Fee Airport), New Hampshire - 0182","Port of Entry","Boston","1 Garside Way","Manchester","NH","03103","1 Garside Way, Manchester, NH 03103","","https://www.cbp.gov/about/contact/ports/manchester-user-fee-airport-new-hampshire-0182"
"Portsmouth, New Hampshire - 0131","Port of Entry","Boston","42 Airline Avenue","Portsmouth","NH","03801","42 Airline Avenue, Portsmouth, NH 03801","","https://www.cbp.gov/about/contact/ports/portsmouth-new-hampshire-0131"
"Providence, Rhode Island - 0502","Port of Entry","Boston","300 Jefferson Boulevard, Suite 106","Warwick","RI","02886","300 Jefferson Boulevard, Suite 106, Warwick, RI 02886","401-732-6701","https://www.cbp.gov/about/contact/ports/providence-rhode-island-0502"
"Newport, Rhode Island - 0501","Port of Entry","Boston","300 Jefferson Blvd, Suite 106","Warwick","RI","02886","300 Jefferson Blvd, Suite 106, Warwick, RI 02886","","https://www.cbp.gov/about/contact/ports/newport-rhode-island-0501"
"Bridgeport, Connecticut - 0410","Port of Entry","Boston","35 Philmack Drive","Middletown","CT","06457","35 Philmack Drive, Middletown, CT 06457","860-632-2246","https://www.cbp.gov/about/contact/ports/bridgeport-connecticut-0410"
"New London (New Haven), Connecticut - 0413","Port of Entry","Boston","35 Philmack Drive","Middletown","CT","06457","35 Philmack Drive, Middletown, CT 06457","860-632-2246","https://www.cbp.gov/about/contact/ports/new-london-connecticut-0413"
"Hartford, Connecticut - 0411","Port of Entry","Boston","Bradley International Airport","Windsor Locks","CT","06096","Bradley International Airport, Windsor Locks, CT 06096","860-292-1314","https://www.cbp.gov/about/contact/ports/hartford-connecticut-0411"
"New Haven, Connecticut - 0412","Port of Entry","Boston","35 Philmack Drive","Middletown","CT","06457","35 Philmack Drive, Middletown, CT 06457","860-632-2246","https://www.cbp.gov/about/contact/ports/new-haven-connecticut-0412"
"Waterbury Oxford Airport - 0482","Port of Entry","Boston","1 Juliano Drive","Oxford","CT","06478","1 Juliano Drive, Oxford, CT 06478","203-262-6027","https://www.cbp.gov/about/contact/ports/waterbury-oxford-airport-0482"
"Buffalo","Field Office","","Buffalo Field Office","Buffalo","NY","14225","Buffalo Field Office, Buffalo, NY 14225","716-626-0400","https://www.cbp.gov/about/contact/ports/field-office/buffalo"
"Rochester, New York - 0903","Port of Entry","Buffalo","1200 Brooks Avenue","Rochester","NY","14624","1200 Brooks Avenue, Rochester, NY 14624","585-263-6293","https://www.cbp.gov/about/contact/ports/rochester-new-york-0903"
"Buffalo, New York - 0901","Port of Entry","Buffalo","726 Exchange Street","Buffalo","NY","14210","726 Exchange Street, Buffalo, NY 14210","716-843-8521","https://www.cbp.gov/about/contact/ports/buffalo-new-york-0901"
"Trout River, New York - 0715","Port of Entry","Buffalo","17013 State Route 30","Constable","NY","12926","17013 State Route 30, Constable, NY 12926","","https://www.cbp.gov/about/contact/ports/trout-river-new-york-0715"
"Syracuse, New York - 0906","Port of Entry","Buffalo","152 Air Cargo Road","N. Syracuse","NY","13212","152 Air Cargo Road, N. Syracuse, NY 13212","","https://www.cbp.gov/about/contact/ports/syracuse-new-york-0906"
"Champlain, New York - 0712","Port of Entry","Buffalo","237 West Service Road","Champlain","NY","12919","237 West Service Road, Champlain, NY 12919","518-298-8311","https://www.cbp.gov/about/contact/ports/champlain-new-york-0712"
"Alexandria Bay, New York - 0708","Port of Entry","Buffalo","46735 Interstate Route 81","Alexandria Bay","NY","13607","46735 Interstate Route 81, Alexandria Bay, NY 13607","315-482-2065","https://www.cbp.gov/about/contact/ports/alexandria-bay-new-york-0708"
"Albany, New York - 1002","Port of Entry","Buffalo","445 Broadway, Room 216","Albany","NY","12207","445 Broadway, Room 216, Albany, NY 12207","518-431-0200","https://www.cbp.gov/about/contact/ports/albany-new-york-1002"
"Massena, New York - 0704","Port of Entry","Buffalo","30M Seaway International Bridge","Rooseveltown","NY","13683","30M Seaway International Bridge, Rooseveltown, NY 13683","315-268-7430","https://www.cbp.gov/about/contact/ports/massena-new-york-0704"
"Binghamton, New York - 0981","Port of Entry","Buffalo","2534 Airport Road","Johnson City","NY","13790","2534 Airport Road, Johnson City, NY 13790","","https://www.cbp.gov/about/contact/ports/binghamton-new-york-0981"
"Ogdensburg, New York - 0701","Port of Entry","Buffalo","Ogdensburg Bridge Plaza","Ogdensburg","NY","13669","Ogdensburg Bridge Plaza, Ogdensburg, NY 13669","","https://www.cbp.gov/about/contact/ports/ogdensburg-new-york-0701"
"Cape Vincent, New York - 706","Port of Entry","Buffalo","177 North James Street","Cape Vincent","NY","13618","177 North James Street, Cape Vincent, NY 13618","315-654-2781","https://www.cbp.gov/about/contact/ports/cape-vincent-new-york-706"
"Chicago","Field Office","","610 S. Canal Street","Chicago","IL","60607","610 S. Canal Street, Chicago, IL 60607","312-542-5700","https://www.cbp.gov/about/contact/ports/field-office/chicago"
"South Dakota Sioux Falls Regional Airport – Joe Foss Field - 3502","Port of Entry","Chicago","2801 N. Jaycee Lane","Sioux Falls","SD","57104","2801 N. Jaycee Lane, Sioux Falls, SD 57104","605-338-4384","https://www.cbp.gov/about/contact/ports/south-dakota-sioux-falls-regional-airport-joe-foss-field-3502"
"Spirit of St. Louis Airport, Missouri - 4506","Port of Entry","Chicago","18250 Edison Avenue","Chesterfield","MO","63005","18250 Edison Avenue, Chesterfield, MO 63005","636-238-8953","https://www.cbp.gov/about/contact/ports/spirit-st-louis-airport-missouri-4506"
"Springfield, Missouri - 4505","Port of Entry","Chicago","5000 W Kearney","Springfield","MO","65803","5000 W Kearney, Springfield, MO 65803","417-868-0545","https://www.cbp.gov/about/contact/ports/springfield-missouri-4505"
"St. Louis, Missouri - 4503","Port of Entry","Chicago","4349 Woodson Rd","St. Louis","MO","63134","4349 Woodson Rd, St. Louis, MO 63134","314-429-8100","https://www.cbp.gov/about/contact/ports/st-louis-missouri-4503"
"Kansas City, Missouri - 4501","Port of Entry","Chicago","1 Kansas City Boulevard","Kansas City","MO","64153","1 Kansas City Boulevard, Kansas City, MO 64153","816-780-6100","https://www.cbp.gov/about/contact/ports/kansas-city-missouri-4501"
"Minneapolis-St. Paul, Minnesota - 3501","Port of Entry","Chicago","5600 W American Blvd","Bloomington","MN","55437","5600 W American Blvd, Bloomington, MN 55437","952-857-3100","https://www.cbp.gov/about/contact/ports/minneapolis-st-paul-minnesota-3501"
"Duluth, MN and Superior, WI, Minnesota - 3510","Port of Entry","Chicago","Federal Building, Room 217","Duluth","MN","55802","Federal Building, Room 217, Duluth, MN 55802","218-720-5203","https://www.cbp.gov/about/contact/ports/duluth-mn-and-superior-wi-minnesota-3510"
"Rochester International Airport, Rochester, Minnesota - 3581","Port of Entry","Chicago","7600 Helgerson Dr SW","Rochester","MN","55902","7600 Helgerson Dr SW, Rochester, MN 55902","507-285-5278","https://www.cbp.gov/about/contact/ports/rochester-international-airport-rochester-minnesota-3581"
"Des Moines, Iowa - 3513","Port of Entry","Chicago","6000 Fleur Drive","Des Moines","IA","50321","6000 Fleur Drive, Des Moines, IA 50321","515-284-4403","https://www.cbp.gov/about/contact/ports/des-moines-iowa-3513"
"Fort Wayne, Indiana - 4183","Port of Entry","Chicago","4410 Altitude Drive","Fort Wayne","IN","46809","4410 Altitude Drive, Fort Wayne, IN 46809","260-747-7276","https://www.cbp.gov/about/contact/ports/fort-wayne-indiana-4183"
"Owensboro, KY / Evansville, IN - 4116","Port of Entry","Chicago","101 N.W. Martin Luther King, Jr. Boulevard","Evansville","IN","47708","101 N.W. Martin Luther King, Jr. Boulevard, Evansville, IN 47708","","https://www.cbp.gov/about/contact/ports/evansville-indiana-4116"
"Indianapolis, Indiana - 4110","Port of Entry","Chicago","1945 South Banner Avenue","Indianapolis","IN","46241","1945 South Banner Avenue, Indianapolis, IN 46241","317-241-9780","https://www.cbp.gov/about/contact/ports/indianapolis-indiana-4110"
"Wichita, Kansas - 4504","Port of Entry","Chicago","1700 Airport Road","Wichita","KS","67209","1700 Airport Road, Wichita, KS 67209","316-613-4194","https://www.cbp.gov/about/contact/ports/wichita-kansas-4504"
"Omaha, Nebraska - 3512","Port of Entry","Chicago","3737A Orville Plaza","Omaha","NE","68110","3737A Orville Plaza, Omaha, NE 68110","402-341-0240","https://www.cbp.gov/about/contact/ports/omaha-nebraska-3512"
"Racine, Wisconsin - 3708","Port of Entry","Chicago","3239 North Green Bay Road","Racine","WI","53404","3239 North Green Bay Road, Racine, WI 53404","262-633-0286","https://www.cbp.gov/about/contact/ports/racine-wisconsin-3708"
"Milwaukee, Wisconsin - 3701","Port of Entry","Chicago","4915 S. Howell Avenue","Milwaukee","WI","53207","4915 S. Howell Avenue, Milwaukee, WI 53207","414-486-7790","https://www.cbp.gov/about/contact/ports/milwaukee-wisconsin-3701"
"Green Bay, Wisconsin - 3703","Port of Entry","Chicago","2077 Airport Drive","Green Bay","WI","54313","2077 Airport Drive, Green Bay, WI 54313","920-496-0606","https://www.cbp.gov/about/contact/ports/green-bay-wisconsin-3703"
"Toledo-Sandusky-Port Clinton, Ohio - 4105","Port of Entry","Chicago","709 SE Catawba Rd.","Port Clinton","OH","43452","709 SE Catawba Rd., Port Clinton, OH 43452","","https://www.cbp.gov/about/contact/ports/toledo-sandusky-port-clinton-ohio-4105"
"Cincinnati, OH-Erlanger, KY, Kentucky - 4102","Port of Entry","Chicago","4243 Olympic Blvd.","Erlanger","KY","41018","4243 Olympic Blvd., Erlanger, KY 41018","859-282-6308","https://www.cbp.gov/about/contact/ports/cincinnati-oh-erlanger-ky-kentucky-4102"
"Ashtabula/Conneaut, Ohio - 4122","Port of Entry","Chicago","1170 Lake Avenue","Ashtabula","OH","44004","1170 Lake Avenue, Ashtabula, OH 44004","440-964-2010","https://www.cbp.gov/about/contact/ports/ashtabulaconneaut-ohio-4122"
"Columbus, Ohio - 4103","Port of Entry","Chicago","6431 Alum Creek Drive","Groveport","OH","43125","6431 Alum Creek Drive, Groveport, OH 43125","614-497-1865","https://www.cbp.gov/about/contact/ports/columbus-ohio-4103"
"Dayton, Ohio - 4104","Port of Entry","Chicago","3800 Wright Drive","Vandalia","OH","45377","3800 Wright Drive, Vandalia, OH 45377","937-890-7633","https://www.cbp.gov/about/contact/ports/dayton-ohio-4104"
"Cleveland, Ohio - 4101","Port of Entry","Chicago","6747 Engle Road","Middleburg Heights","OH","44130","6747 Engle Road, Middleburg Heights, OH 44130","440-891-3800","https://www.cbp.gov/about/contact/ports/cleveland-ohio-4101"
"Louisville, Kentucky - 4115","Port of Entry","Chicago","Louisville International Airport","Louisville","KY","40209","Louisville International Airport, Louisville, KY 40209","502-366-3398","https://www.cbp.gov/about/contact/ports/louisville-kentucky-4115"
"Lexington, Kentucky - 4184","Port of Entry","Chicago","Bluegrass Airport","Lexington","KY","40510","Bluegrass Airport, Lexington, KY 40510","","https://www.cbp.gov/about/contact/ports/lexington-kentucky-4184"
"Erie, Pennsylvania - 4106","Port of Entry","Chicago","Erie International Airport/Tom Ridge Field","Erie","PA","16505","Erie International Airport/Tom Ridge Field, Erie, PA 16505","814-833-1355","https://www.cbp.gov/about/contact/ports/erie-pennsylvania-4106"
"Peoria, Illinois - 3902","Port of Entry","Chicago","General Wayne A. Downing Peoria International Airport","Peoria","IL","61607","General Wayne A. Downing Peoria International Airport, Peoria, IL 61607","309-697-4329","https://www.cbp.gov/about/contact/ports/peoria-illinois-3902"
"Chicago Executive Airport, Wheeling, Illinois - 3983","Port of Entry","Chicago","26 E. Palatine Road","Wheeling","IL","60090","26 E. Palatine Road, Wheeling, IL 60090","847-894-7292","https://www.cbp.gov/about/contact/ports/chicago-executive-airport-wheeling-illinois-3983"
"Chicago, Illinois - 3901","Port of Entry","Chicago","5600 Pearl Street","Rosemont","IL","60018","5600 Pearl Street, Rosemont, IL 60018","847-928-3000","https://www.cbp.gov/about/contact/ports/chicago-illinois-3901"
"MidAmerica St. Louis Airport, Mascoutah, Illinois – 4581","Port of Entry","Chicago","8810 Richard Brauer Road","Mascoutah","IL","62258","8810 Richard Brauer Road, Mascoutah, IL 62258","618-566-5341","https://www.cbp.gov/about/contact/ports/midamerica-st-louis-airport-mascoutah-illinois-4581"
"Davenport, IA-Moline and Rock Island, IL, Illinois - 3908","Port of Entry","Chicago","3300 69th Avenue","Moline","IL","61265","3300 69th Avenue, Moline, IL 61265","309-799-8129","https://www.cbp.gov/about/contact/ports/davenport-ia-moline-and-rock-island-il-illinois-3908"
"Waukegan National Airport, Waukegan, Illinois - 3981","Port of Entry","Chicago","Waukegan National Airport","Waukegan","IL","60087","Waukegan National Airport, Waukegan, IL 60087","224-529-1468","https://www.cbp.gov/about/contact/ports/waukegan-national-airport-waukegan-illinois-3981"
"Rockford, Illinois - 3909","Port of Entry","Chicago","50 Airport Drive","Rockford","IL","61109","50 Airport Drive, Rockford, IL 61109","815-968-0661","https://www.cbp.gov/about/contact/ports/rockford-illinois-3909"
"DuPage Airport, West Chicago, Illinois - 3984","Port of Entry","Chicago","DuPage Airport","Chicago","IL","60185","DuPage Airport, Chicago, IL 60185","630-208-6490","https://www.cbp.gov/about/contact/ports/dupage-airport-west-chicago-illinois-3984"
"Appleton International Airport, Appleton, Wisconsin - 3781","Port of Entry","Chicago","W6400 Challenger Dr. Ste. 100","Appleton","WI","54914","W6400 Challenger Dr. Ste. 100, Appleton, WI 54914","920-968-2348","https://www.cbp.gov/about/contact/ports/appleton-international-airport-appleton-wisconsin-3781"
"Gary Chicago International Airport, Gary, Indiana - 3905","Port of Entry","Chicago","6001-A Airport Road","Gary","IN","46406","6001-A Airport Road, Gary, IN 46406","773-948-6330","https://www.cbp.gov/about/contact/ports/gary-chicago-international-airport-gary-indiana-3905"
"University of Illinois Willard Airport - 3987","Port of Entry","Chicago","Willard Airport at the University of Illinois","Savoy","IL","61874","Willard Airport at the University of Illinois, Savoy, IL 61874","217-729-7607","https://www.cbp.gov/about/contact/ports/university-illinois-willard-airport-3987"
